import time: self [us] | cumulative | imported package
import time:       134 |        134 |                         parso._compatibility
import time:      1081 |       1081 |                           difflib
import time:       508 |        508 |                               parso.python.prefix
import time:      1846 |       2354 |                             parso.python.tree
import time:       430 |       2784 |                           parso.python.parser
import time:       816 |       4680 |                         parso.python.diff
import time:       145 |        145 |                           gc
import time:       665 |        810 |                         parso.cache
import time:       274 |        274 |                           parso.normalizer
import time:      1156 |       1429 |                         parso.python.errors
import time:       439 |        439 |                         parso.python.pep8
import time:       173 |        173 |                         parso.file_io
import time:       885 |       8546 |                       parso.grammar
import time:       197 |      17089 |                     parso
import time:       326 |        326 |                     jedi.parser_utils
import time:       264 |        264 |                             colorama.ansi
import time:       277 |        277 |                               msvcrt
import time:       986 |        986 |                                   _ctypes
import time:       272 |        272 |                                   ctypes._endian
import time:       975 |       2232 |                                 ctypes
import time:       171 |       2402 |                               colorama.win32
import time:       227 |       2905 |                             colorama.winterm
import time:       725 |       3894 |                           colorama.ansitowin32
import time:       236 |       4130 |                         colorama.initialise
import time:       197 |       4326 |                       colorama
import time:       261 |       4587 |                     jedi.debug
import time:       192 |        192 |                     jedi.settings
import time:       195 |        195 |                     jedi.cache
import time:       209 |        209 |                     jedi.file_io
import time:       112 |        112 |                               jedi.inference.cache
import time:       152 |        152 |                                 jedi.inference.helpers
import time:       366 |        366 |                                 jedi.inference.utils
import time:       392 |        910 |                               jedi.inference.base_value
import time:       174 |       1195 |                             jedi.inference.sys_path
import time:       219 |        219 |                                     jedi.inference.recursion
import time:       339 |        557 |                                   jedi.inference.flow_analysis
import time:       232 |        232 |                                         jedi.common
import time:       232 |        463 |                                       jedi.inference.lazy_value
import time:       949 |       1412 |                                     jedi.inference.docstrings
import time:       255 |        255 |                                     jedi.plugins
import time:      1202 |       2869 |                                   jedi.inference.names
import time:       771 |       4196 |                                 jedi.inference.filters
import time:       140 |        140 |                                   jedi.inference.compiled.getattr_static
import time:      1126 |       1265 |                                 jedi.inference.compiled.access
import time:       260 |        260 |                                 jedi.inference.signature
import time:       693 |        693 |                                 jedi.inference.context
import time:       626 |       7038 |                               jedi.inference.compiled.value
import time:       191 |       7229 |                             jedi.inference.compiled
import time:       244 |        244 |                             jedi.inference.analysis
import time:       104 |        104 |                               jedi.inference.gradual
import time:       473 |        473 |                                     jedi.inference.value.module
import time:      3328 |       3328 |                                           jedi.inference.value.dynamic_arrays
import time:      1037 |       4364 |                                         jedi.inference.value.iterable
import time:       349 |       4713 |                                       jedi.inference.arguments
import time:        99 |         99 |                                         jedi.inference.parser_cache
import time:       224 |        224 |                                         jedi.inference.gradual.generics
import time:       682 |       1005 |                                       jedi.inference.value.function
import time:       528 |       6245 |                                     jedi.inference.value.klass
import time:       843 |        843 |                                     jedi.inference.value.instance
import time:       120 |       7679 |                                   jedi.inference.value
import time:        21 |       7699 |                                 jedi.inference.value.module
import time:       606 |        606 |                                   jedi.inference.gradual.base
import time:       215 |        215 |                                   jedi.inference.gradual.type_var
import time:       668 |       1488 |                                 jedi.inference.gradual.typing
import time:       264 |       9450 |                               jedi.inference.gradual.stub_value
import time:      1008 |      10561 |                             jedi.inference.gradual.typeshed
